,revenue_pct,margin_pct,products_losing_margin_pct
cogs_30,10.7,-10.9,76.6
cogs_40,10.7,-22.9,97.9
cogs_50,10.7,-39.7,100.0
in_season,21.6,-15.7,96.7
off_season,-22.5,-44.9,100.0
