group1,group2,meandiff,p-adj,lower,upper,reject
10-20%,20-30%,5.8531,0.0,5.3984,6.3078,True
10-20%,30-40%,11.7108,0.0,11.2587,12.163,True
10-20%,40-50%,17.7061,0.0,17.2249,18.1873,True
20-30%,30-40%,5.8577,0.0,5.4483,6.2671,True
20-30%,40-50%,11.853,0.0,11.4117,12.2943,True
30-40%,40-50%,5.9953,0.0,5.5566,6.434,True
