discount_band,n,unit_lift,ci95,revenue_change
10-20%,8653,8.88,0.13,-7.24
20-30%,12402,14.73,0.17,-13.49
30-40%,12749,20.59,0.24,-21.13
40-50%,9596,26.59,0.35,-30.04
