stage,mean_depth,incr_lift_mean,incr_lift_median,cum_lift,breakeven
1,25.1,15.0,14.0,15.0,35.3
2,35.0,20.9,21.2,40.0,56.7
3,20.0,11.9,11.7,58.3,25.6
4,40.0,23.9,25.5,100.8,68.3
